요청시각,케이스,인원수,출발지목록,1순위역,2순위역,전체응답시간(ms),OdSay호출횟수,OdSay총합(ms),OdSay평균(ms),Kakao장소수조회(ms),Kakao장소목록횟수,Kakao장소목록총합(ms),성공여부,에러
2026-07-26 14:07:22,케이스1_경기+경기,2,"분당서현역, 수원역",광교역,상현역,164,0,0,0,6,0,0,성공,
2026-07-26 14:07:27,케이스1_경기+경기,2,"의정부역, 평택역",수내역,동천역,158,0,0,0,7,0,0,성공,
2026-07-26 14:07:32,케이스1_경기+경기,2,"평택역, 안양역",병점역,서동탄역,159,0,0,0,6,0,0,성공,
2026-07-26 14:07:37,케이스1_경기+경기,2,"분당서현역, 부평역",안양역,관악역,150,0,0,0,6,0,0,성공,
2026-07-26 14:07:42,케이스1_경기+경기,2,"분당서현역, 파주금촌역",아현역,이대역,160,0,0,0,5,0,0,성공,
2026-07-26 14:07:48,케이스2_서울+경기,2,"강남역, 수원역",인덕원역,평촌역,149,0,0,0,5,0,0,성공,
2026-07-26 14:07:53,케이스2_서울+경기,2,"강남역, 평택역",수원시청역,매탄권선역,157,0,0,0,6,0,0,성공,
2026-07-26 14:07:58,케이스2_서울+경기,2,"홍대입구역, 부평역",원종역,까치울역,153,0,0,0,6,0,0,성공,
2026-07-26 14:08:03,케이스2_서울+경기,2,"강동구청역, 수원역",판교역,신분당선,133,0,0,0,5,0,0,성공,
2026-07-26 14:08:08,케이스2_서울+경기,2,"강동구청역, 평택역",청명역,상갈역,171,0,0,0,4,0,0,성공,
2026-07-26 14:08:14,케이스3_서울+지방,2,"서울역, 대구역",CU 대전역,대전역,528,0,0,0,0,0,0,성공,
2026-07-26 14:08:19,케이스3_서울+지방,2,"홍대입구역, 대구역",CU 대전역,대전역,524,0,0,0,0,0,0,성공,
2026-07-26 14:08:25,케이스3_서울+지방,2,"강동구청역, 부산역",구미역,왜관역,514,0,0,0,0,0,0,성공,
2026-07-26 14:08:30,케이스3_서울+지방,2,"강남역, 천안역",오산대역,오산역,164,0,0,0,4,0,0,성공,
2026-07-26 14:08:36,케이스3_서울+지방,2,"서울역, 대구역",CU 대전역,대전역,517,0,0,0,0,0,0,성공,
2026-07-26 14:08:41,케이스4_서울+경기+지방,3,"신촌역, 의정부역, 천안역",정자역,수내역,202,0,0,0,0,0,0,성공,
2026-07-26 14:08:46,케이스4_서울+경기+지방,3,"홍대입구역, 일산역, 대전역",병점역,서동탄역,130,0,0,0,3,0,0,성공,
2026-07-26 14:08:51,케이스4_서울+경기+지방,3,"강남역, 파주금촌역, 대전역",동탄역,병점역,161,0,0,0,3,0,0,성공,
2026-07-26 14:08:57,케이스4_서울+경기+지방,3,"신촌역, 일산역, 부산역",,없음,348,0,0,0,0,0,0,성공,
2026-07-26 14:09:02,케이스4_서울+경기+지방,3,"강남역, 인천역, 대전역",송탄역,진위역,180,0,0,0,3,0,0,성공,
2026-07-26 14:09:07,케이스5_서울+서울+경기+지방,4,"건대입구역, 강남역, 부평역, 부산역",천안역,두정역,531,0,0,0,0,0,0,성공,
2026-07-26 14:09:13,케이스5_서울+서울+경기+지방,4,"서울역, 강동구청역, 일산역, 천안역",인덕원역,평촌역,159,0,0,0,6,0,0,성공,
2026-07-26 14:09:18,케이스5_서울+서울+경기+지방,4,"서울역, 강남역, 수원역, 천안역",매교역,수원시청역,141,0,0,0,5,0,0,성공,
2026-07-26 14:09:23,케이스5_서울+서울+경기+지방,4,"신촌역, 강남역, 평택역, 대전역",오산역,송탄역,194,0,0,0,0,0,0,성공,
2026-07-26 14:09:29,케이스5_서울+서울+경기+지방,4,"건대입구역, 신촌역, 인천역, 부산역",천안역,두정역,590,0,0,0,0,0,0,성공,
