요청시각,케이스,인원수,출발지목록,1순위역,2순위역,전체응답시간(ms),OdSay호출횟수,OdSay총합(ms),OdSay평균(ms),Kakao장소수조회(ms),Kakao장소목록횟수,Kakao장소목록총합(ms),성공여부,에러
2026-07-26 14:03:31,케이스1_경기+경기,2,"분당서현역, 수원역",광교역,상현역,4263,10,3543,354,449,0,0,성공,
2026-07-26 14:03:38,케이스1_경기+경기,2,"의정부역, 평택역",수내역,동천역,2835,8,1933,241,204,0,0,성공,
2026-07-26 14:03:45,케이스1_경기+경기,2,"평택역, 안양역",병점역,서동탄역,1958,8,1593,199,197,0,0,성공,
2026-07-26 14:03:53,케이스1_경기+경기,2,"분당서현역, 부평역",안양역,관악역,2843,10,1605,160,388,0,0,성공,
2026-07-26 14:04:02,케이스1_경기+경기,2,"분당서현역, 파주금촌역",아현역,이대역,3816,10,3270,327,393,0,0,성공,
2026-07-26 14:04:09,케이스2_서울+경기,2,"강남역, 수원역",인덕원역,평촌역,2161,4,1785,446,198,0,0,성공,
2026-07-26 14:04:17,케이스2_서울+경기,2,"강남역, 평택역",수원시청역,매탄권선역,2563,10,2028,202,366,0,0,성공,
2026-07-26 14:04:25,케이스2_서울+경기,2,"홍대입구역, 부평역",원종역,까치울역,2768,10,2204,220,387,0,0,성공,
2026-07-26 14:04:31,케이스2_서울+경기,2,"강동구청역, 수원역",판교역,신분당선,1214,4,883,220,190,0,0,성공,
2026-07-26 14:04:38,케이스2_서울+경기,2,"강동구청역, 평택역",청명역,상갈역,2473,9,2084,231,219,0,0,성공,
2026-07-26 14:04:47,케이스3_서울+지방,2,"서울역, 대구역",CU 대전역,대전역,3505,8,1169,146,0,0,0,성공,
2026-07-26 14:04:55,케이스3_서울+지방,2,"홍대입구역, 대구역",CU 대전역,대전역,2778,6,2244,374,0,0,0,성공,
2026-07-26 14:05:04,케이스3_서울+지방,2,"강동구청역, 부산역",구미역,왜관역,4219,12,1399,116,0,0,0,성공,
2026-07-26 14:05:10,케이스3_서울+지방,2,"강남역, 천안역",오산대역,오산역,472,4,155,38,175,0,0,성공,
2026-07-26 14:05:15,케이스3_서울+지방,2,"서울역, 대구역",CU 대전역,대전역,537,0,0,0,0,0,0,성공,
2026-07-26 14:05:23,케이스4_서울+경기+지방,3,"신촌역, 의정부역, 천안역",정자역,수내역,3100,10,2884,288,0,0,0,성공,
2026-07-26 14:05:34,케이스4_서울+경기+지방,3,"홍대입구역, 일산역, 대전역",병점역,서동탄역,5529,25,4516,180,195,0,0,성공,
2026-07-26 14:05:41,케이스4_서울+경기+지방,3,"강남역, 파주금촌역, 대전역",동탄역,병점역,2465,8,1800,225,8,0,0,성공,
2026-07-26 14:05:47,케이스4_서울+경기+지방,3,"신촌역, 일산역, 부산역",,없음,352,0,0,0,0,0,0,성공,
2026-07-26 14:05:54,케이스4_서울+경기+지방,3,"강남역, 인천역, 대전역",송탄역,진위역,2573,10,2203,220,210,0,0,성공,
2026-07-26 14:06:03,케이스5_서울+서울+경기+지방,4,"건대입구역, 강남역, 부평역, 부산역",천안역,두정역,3583,12,1562,130,0,0,0,성공,
2026-07-26 14:06:13,케이스5_서울+서울+경기+지방,4,"서울역, 강동구청역, 일산역, 천안역",인덕원역,평촌역,4855,20,4473,223,194,0,0,성공,
2026-07-26 14:06:23,케이스5_서울+서울+경기+지방,4,"서울역, 강남역, 수원역, 천안역",매교역,수원시청역,5276,18,4269,237,201,0,0,성공,
2026-07-26 14:06:33,케이스5_서울+서울+경기+지방,4,"신촌역, 강남역, 평택역, 대전역",오산역,송탄역,4734,21,3693,175,0,0,0,성공,
2026-07-26 14:06:39,케이스5_서울+서울+경기+지방,4,"건대입구역, 신촌역, 인천역, 부산역",천안역,두정역,1357,4,781,195,0,0,0,성공,
